0,620
31,585
60,643
91,706
121,660
152,721
182,678
213,653
244,638
274,789
305,1332
335,3226
366,598
397,576
425,683
456,735
486,685
517,722
547,745
578,682
609,671
639,799
670,1480
700,3275
731,618
762,637
790,819
821,782
851,742
882,758
912,778
943,801
974,806
1004,987
1035,1677
1065,3445
1096,683
1127,665
1155,823
1186,867
1216,821
1247,873
1277,851
1308,846
1339,846
1369,993
1400,1830
1430,3616
1461,705
1492,737
1521,890
1552,862
1582,669
1613,849
1643,877
1674,874
1705,870
1735,1094
1766,2002
1796,4073
1827,730
1858,791
1886,1032
1917,896
1947,947
1978,940
2008,963
2039,958
2070,971
2100,1141
2131,2009
2161,3643
2192,858
2223,883
2251,987
2282,1022
2312,986
2343,1016
2373,1042
2404,1025
2435,1005
2465,1197
2496,2011
2526,3801
2557,933
2588,966
2616,1135
2647,1076
2677,1061
2708,1101
2738,1083
2769,1101
2800,1111
2830,1277
2861,2096
2891,3711
2922,893
2953,1002
2982,1106
3013,1136
3043,1072
3074,1098
3104,1124
3135,1132
3166,1175
3196,1285
3227,2161
3257,3763
3288,880
3319,971
3347,1176
3378,1063
3408,1038
3439,1107
3469,1094
3500,1065
3531,1050
3561,1303
3592,2445
3622,3628
3653,896
3684,966
3712,1186
3743,1014
3773,1078
3804,1065
3834,1103
3865,1087
3896,1048
3926,1347
3957,2468
3987,3651
4018,910
4049,940
4077,1111
4108,1139
4138,1088
4169,1064
4199,1094
4230,1087
4261,1095
4291,1286
4322,2223
4352,3545
4383,962
4414,1045
4443,1125
4474,1082
4504,974
4535,1024
4565,1086
4596,1016
4627,1051
4657,1311
4688,2187
4718,3451
4749,950
4780,980
4808,1173
4839,1098
4869,1061
4900,1049
4930,1077
4961,1028
4992,1019
5022,1229
5053,2120
5083,3471
5114,1063
5145,1022
5173,1117
5204,1094
5234,1040
5265,1048
5295,1070
5326,1043
5357,1086
5387,1205
5418,1933
5448,3299
5479,948
5510,974
5538,1188
5569,1064
5599,1050
5630,1096
5660,1102
5691,1084
5722,1102
5752,1275
5783,2208
5813,3253
5844,1045
5875,1078
5904,1185
5935,1082
5965,1132
5996,1045
6026,1100
6057,1067
6088,1063
6118,1221
6149,1964
6179,3125
6210,1034
6241,1012
6269,1099
6300,1089
6330,1068
6361,1025
6391,1062
6422,1011
6453,1067
6483,1200
6514,1850
6544,3013
6575,958
6606,1005
6634,1161
6665,1065
6695,1036
6726,1030
6756,1077
6787,1046
6818,1080
6848,1262
6879,2003
6909,3082
6940,972
6971,1030
6999,1201
7030,1192
7060,1073
7091,1069
7121,1089
7152,1074
7183,1151
7213,1252
7244,1964
7274,3052
7305,1072
7336,1192
7365,1270
7396,1156
7426,1186
7457,1130
7487,1123
7518,1126
7549,1158
7579,1275
7610,1945
7640,2987
7671,1029
7702,1079
7730,1250
7761,1117
7791,1127
7822,1067
7852,1118
7883,1156
7914,1172
7944,1351
7975,2156
8005,3298
8036,1020
8067,1091
8095,1221
8126,1204
8156,1178
8187,1088
8217,1186
8248,1189
8279,1254
8309,1358
8340,2140
8370,3507
8401,1127
8432,1157
8460,1320
8491,1222
8521,1232
8552,1154
8582,1189
8613,1196
8644,1281
8674,1431
8705,2168
8735,3573
8766,1191
8797,1221
8826,1374
8857,1250
8887,1243
8918,1188
8948,1239
8979,1239
9010,1315
9040,1428
9071,2234
9101,3432
9132,1182
9163,1181
9191,1355
9222,1278
9252,1247
9283,1178
9313,1193
9344,1243
9375,1348
9405,1445
9436,2239
9466,3258
9497,1187
9528,1230
9556,1720
9587,1358
9617,1438
9648,1259
9678,1046
9709,1100
9740,1182
9770,1282
9801,1986
9831,2101
9862,1131
9893,1088
9921,1265
9952,1159
9982,1235
10013,1169
10043,1178
10074,1269
10105,1254
10135,1407
10166,2064
10196,2305
10227,1174
10258,1200
10287,862
10318,360
10348,1120
10379,1420
10409,1409
10440,1508
10471,1582
10501,1674
10532,2412
10562,2617
10593,1646
10624,1445
10652,1980
10683,1777
10713,1768
10744,1733
10774,1812
10805,1844
10836,1939
