t[s],Bpos,Bspd,A[cm²],Mma[Å²],P1[mN/m],P2[mN/m],T[°C],SP[V],pH,AD[V]
5153.17,119.235,-0.156,58.9,61.94,30.062,0,24.85,,0.08,0
5163.31,119.334,1.995,58.75,61.78,29.967,0,24.92,,0.08,0
5173.42,119.466,1.166,58.55,61.58,29.983,0,24.96,,0.08,0
5183.43,119.466,-0.865,58.55,61.58,29.976,0,24.89,,0.08,0
5193.56,119.47,1.995,58.55,61.57,30.006,0,24.86,,0.08,0
5203.72,119.458,1.995,58.56,61.59,29.981,0,24.79,,0.08,0
5213.82,119.503,-0.589,58.5,61.52,29.983,0,24.81,,0.08,0
5223.99,119.527,-1.995,58.46,61.48,30.021,0,24.77,,0.08,0
5234.16,119.473,1.983,58.54,61.56,30.01,0,24.77,,0.08,0
5244.18,119.482,0.601,58.53,61.55,29.944,0,24.75,,0.08,0
5254.38,119.48,-1.995,58.53,61.55,29.972,0,24.73,,0.08,0
5264.42,119.472,0.613,58.54,61.57,29.988,0,24.72,,0.08,0
5274.46,119.452,-0.337,58.57,61.6,30.068,0,24.72,,0.08,0
5284.49,119.445,-0.144,58.58,61.61,29.948,0,24.69,,0.08,0
5294.58,119.457,-1.154,58.56,61.59,29.949,0,24.68,,0.08,0
5304.67,119.447,1.995,58.58,61.61,30.039,0,24.67,,0.08,0
5314.7,119.443,0,58.59,61.61,29.918,0,24.65,,0.08,0
5324.75,119.444,0.565,58.58,61.61,30.098,0,24.67,,0.08,0
5334.92,119.423,1.995,58.61,61.64,29.977,0,24.71,,0.08,0
5345,119.447,1.995,58.58,61.61,30.012,0,24.78,,0.08,0
5355.18,119.427,-1.19,58.61,61.64,29.998,0,24.84,,0.08,0
5365.29,119.43,-0.457,58.61,61.63,30.048,0,24.89,,0.08,0
5375.39,119.389,-1.046,58.67,61.7,30.031,0,24.88,,0.08,0
5385.51,119.405,-1.502,58.64,61.67,29.937,0,24.8,,0.08,0
5395.58,119.445,-0.553,58.58,61.61,29.968,0,24.73,,0.08,0
5405.69,119.43,1.995,58.61,61.63,30.043,0,24.72,,0.08,0
5415.85,119.416,0.337,58.63,61.66,29.945,0,24.71,,0.08,0
5425.86,119.353,-1.995,58.72,61.75,29.957,0,24.73,,0.08,0
5435.97,119.464,0.24,58.55,61.58,30.038,0,24.72,,0.08,0
5446.09,119.461,-0.204,58.56,61.58,29.972,0,24.73,,0.08,0
5456.18,119.423,-1.719,58.61,61.64,29.945,0,24.78,,0.08,0
5466.35,119.325,0.421,58.76,61.8,30.083,0,24.83,,0.08,0
5476.49,119.259,-1.827,58.86,61.9,30.097,0,24.85,,0.08,0
5486.58,119.23,-1.995,58.91,61.95,30.079,0,24.84,,0.08,0
5496.59,119.352,1.995,58.72,61.76,29.983,0,24.81,,0.08,0
5506.64,119.485,-0.709,58.52,61.55,30.01,0,24.81,,0.08,0
5516.65,119.507,-0.108,58.49,61.51,29.979,0,24.81,,0.08,0
5526.74,119.48,0.577,58.53,61.55,29.966,0,24.82,,0.08,0
5536.88,119.468,-1.995,58.55,61.57,29.962,0,24.8,,0.08,0
5547.07,119.476,-1.995,58.54,61.56,30.033,0,24.8,,0.08,0
5557.26,119.486,1.166,58.52,61.54,30.019,0,24.81,,0.08,0
5567.4,119.409,1.995,58.64,61.67,29.961,0,24.81,,0.08,0
5577.42,119.443,1.046,58.59,61.61,29.991,0,24.74,,0.08,0
5587.58,119.429,-1.743,58.61,61.63,30.002,0,24.74,,0.08,0
5597.76,119.427,0.649,58.61,61.64,29.902,0,24.75,,0.08,0
5607.96,119.435,-0.108,58.6,61.62,29.989,0,24.79,,0.08,0
5618.17,119.395,1.19,58.66,61.69,30.037,0,24.83,,0.08,0
5628.37,119.441,0.589,58.59,61.61,30.004,0,24.79,,0.08,0
5638.57,119.421,-1.406,58.62,61.65,30.051,0,24.79,,0.08,0
5648.6,119.462,-0.445,58.56,61.58,30.072,0,24.79,,0.08,0
5658.73,119.45,0.168,58.57,61.6,30.053,0,24.76,,0.08,0
5668.9,119.454,-1.046,58.57,61.59,29.964,0,24.81,,0.08,0
5679.02,119.413,-1.01,58.63,61.66,30.029,0,24.79,,0.08,0
5689.17,119.458,-1.214,58.56,61.59,30.041,0,24.85,,0.08,0
5699.38,119.434,1.995,58.6,61.63,29.986,0,24.87,,0.08,0
5709.49,119.427,-1.791,58.61,61.64,29.993,0,24.8,,0.08,0
5719.64,119.363,0.06,58.71,61.74,30.006,0,24.77,,0.08,0
5729.64,119.298,1.538,58.8,61.84,30.021,0,24.76,,0.08,0
5739.84,119.227,1.731,58.91,61.95,30.032,0,24.74,,0.08,0
5749.91,119.347,1.995,58.73,61.76,29.97,0,24.77,,0.08,0
5760.05,119.434,0.096,58.6,61.63,29.996,0,24.8,,0.08,0
5770.14,119.458,1.13,58.56,61.59,29.949,0,24.78,,0.08,0
5780.15,119.457,0.577,58.56,61.59,30.034,0,24.79,,0.08,0
5790.32,119.445,0.084,58.58,61.61,29.988,0,24.79,,0.08,0
5800.44,119.417,0.288,58.62,61.65,30.027,0,24.84,,0.08,0
5810.46,119.426,0.228,58.61,61.64,29.938,0,24.84,,0.08,0
5820.66,119.4,-1.839,58.65,61.68,29.952,0,24.87,,0.08,0
5830.82,119.425,1.947,58.61,61.64,29.895,0,24.81,,0.08,0
5840.99,119.43,1.575,58.61,61.63,30.024,0,24.85,,0.08,0
5851.01,119.449,1.599,58.58,61.6,30.06,0,24.82,,0.08,0
5861.05,119.371,-0.421,58.69,61.73,29.958,0,24.79,,0.08,0
5871.2,119.405,-0.168,58.64,61.67,30.045,0,24.79,,0.08,0
5881.4,119.371,0.445,58.69,61.73,30.023,0,24.75,,0.08,0
5891.4,119.313,0.565,58.78,61.82,29.949,0,24.73,,0.08,0
5901.58,119.252,1.082,58.87,61.91,30.052,0,24.72,,0.08,0
5911.73,119.288,0.529,58.82,61.86,30.006,0,24.68,,0.08,0
5921.73,119.273,-0.228,58.84,61.88,30.053,0,24.66,,0.08,0
5931.76,119.24,-1.695,58.89,61.93,29.971,0,24.66,,0.08,0
5941.85,119.257,0.577,58.86,61.91,30.033,0,24.67,,0.08,0
5951.98,119.229,-0.601,58.91,61.95,30.043,0,24.66,,0.08,0
5961.99,119.25,0.974,58.87,61.92,29.968,0,24.66,,0.08,0
5972.08,119.232,1.55,58.9,61.94,29.895,0,24.65,,0.08,0
5982.25,119.4,-0.733,58.65,61.68,30.07,0,24.64,,0.08,0
5992.27,119.435,0.986,58.6,61.62,29.939,0,24.67,,0.08,0
6002.43,119.407,-1.454,58.64,61.67,29.951,0,24.67,,0.08,0
6012.61,119.416,-1.995,58.63,61.66,29.998,0,24.7,,0.08,0
6022.76,119.432,0.589,58.6,61.63,29.977,0,24.71,,0.08,0
6032.89,119.463,-0.084,58.56,61.58,29.975,0,24.7,,0.08,0
6043.09,119.461,1.274,58.56,61.58,30.021,0,24.75,,0.08,0
6053.22,119.441,-1.31,58.59,61.61,29.942,0,24.76,,0.08,0
6063.37,119.435,1.587,58.6,61.62,30.013,0,24.78,,0.08,0
6073.52,119.457,-1.995,58.56,61.59,29.954,0,24.83,,0.08,0
6083.6,119.467,1.142,58.55,61.57,30.029,0,24.91,,0.08,0
6093.78,119.432,-0.469,58.6,61.63,29.968,0,24.95,,0.08,0
6103.96,119.45,1.094,58.57,61.6,30.03,0,24.97,,0.08,0
6114.09,119.44,-0.264,58.59,61.62,30.015,0,24.95,,0.08,0
6124.28,119.436,-0.697,58.6,61.62,30.128,0,25.01,,0.08,0
6134.4,119.42,1.034,58.62,61.65,30.012,0,25.04,,0.08,0
6144.55,119.382,1.599,58.68,61.71,29.995,0,25.03,,0.08,0
6154.58,119.458,1.154,58.56,61.59,29.948,0,24.99,,0.08,0
6164.76,119.363,0.397,58.71,61.74,29.974,0,24.96,,0.08,0
6174.94,119.395,0.036,58.66,61.69,30.058,0,24.96,,0.08,0
6185.1,119.455,-1.202,58.57,61.59,29.988,0,24.92,,0.08,0
6195.29,119.335,-1.995,58.75,61.78,30.049,0,24.95,,0.08,0
6205.45,119.313,1.995,58.78,61.82,30.021,0,24.89,,0.08,0
6215.58,119.264,1.887,58.85,61.89,30.015,0,24.86,,0.08,0
6225.69,119.22,-0.865,58.92,61.96,30.059,0,24.86,,0.08,0
6235.83,119.384,1.995,58.67,61.71,29.885,0,24.88,,0.08,0
6245.99,119.43,1.995,58.61,61.63,29.931,0,24.96,,0.08,0
6256.03,119.381,1.514,58.68,61.71,29.918,0,24.96,,0.08,0
6266.24,119.386,1.154,58.67,61.7,30.007,0,24.99,,0.08,0
6276.38,119.438,0.469,58.59,61.62,29.928,0,24.95,,0.08,0
6286.57,119.403,0.697,58.65,61.68,29.966,0,24.93,,0.08,0
6296.71,119.382,-0.637,58.68,61.71,29.97,0,24.89,,0.08,0
6306.73,119.257,-1.034,58.86,61.91,30.031,0,24.87,,0.08,0
6316.9,119.309,-0.589,58.79,61.82,29.943,0,24.85,,0.08,0
6327.05,119.322,0.913,58.77,61.8,30.068,0,24.87,,0.08,0
6337.25,119.358,1.599,58.71,61.75,30.002,0,24.9,,0.08,0
6347.34,119.343,-1.599,58.74,61.77,29.963,0,24.95,,0.08,0
6357.53,119.326,-0.613,58.76,61.8,29.981,0,24.94,,0.08,0
6367.72,119.311,-1.995,58.78,61.82,30.039,0,24.92,,0.08,0
6377.92,119.216,-1.382,58.93,61.97,30,0,24.91,,0.08,0
6387.93,119.239,1.995,58.89,61.93,29.942,0,24.91,,0.08,0
6398.09,119.37,-1.13,58.7,61.73,29.961,0,24.9,,0.08,0
6408.24,119.353,-1.31,58.72,61.75,29.961,0,24.94,,0.08,0
6418.38,119.272,-1.875,58.84,61.88,30.022,0,24.98,,0.08,0
6428.5,119.188,0.156,58.97,62.02,29.894,0,24.94,,0.08,0
6438.69,119.357,-0.168,58.71,61.75,29.95,0,24.97,,0.08,0
6448.89,119.384,-1.743,58.67,61.71,30.008,0,25.01,,0.08,0
6459,119.364,1.37,58.7,61.74,30.014,0,24.97,,0.08,0
6469.15,119.438,-1.995,58.59,61.62,29.971,0,24.91,,0.08,0
6479.2,119.394,1.37,58.66,61.69,30.036,0,24.94,,0.08,0
6489.35,119.43,1.995,58.61,61.63,29.944,0,25.05,,0.08,0
6499.47,119.477,0.841,58.53,61.56,30.105,0,25,,0.08,0
6509.58,119.449,-0.745,58.58,61.6,29.968,0,25.02,,0.08,0
6519.71,119.417,1.995,58.62,61.65,30.009,0,25,,0.08,0
6529.73,119.37,-1.827,58.7,61.73,29.97,0,25.03,,0.08,0
6539.76,119.432,-0.709,58.6,61.63,30.038,0,25.07,,0.08,0
6549.93,119.438,1.466,58.59,61.62,30.044,0,25.08,,0.08,0
6560.07,119.422,0.877,58.62,61.65,29.909,0,25.13,,0.08,0
6570.24,119.462,-0.517,58.56,61.58,29.938,0,25.08,,0.08,0
6580.32,119.466,-1.995,58.55,61.58,29.978,0,25.07,,0.08,0
6590.45,119.455,0.889,58.57,61.59,30.034,0,25.06,,0.08,0
6600.57,119.445,-0.433,58.58,61.61,30.038,0,25.17,,0.08,0
6610.74,119.467,-0.733,58.55,61.57,29.982,0,25.23,,0.08,0
6620.77,119.458,0.024,58.56,61.59,30.036,0,25.21,,0.08,0
6630.93,119.447,1.995,58.58,61.61,30.03,0,25.2,,0.08,0
6641.06,119.444,0.192,58.58,61.61,30.08,0,25.16,,0.08,0
6651.1,119.429,-0.565,58.61,61.63,29.928,0,25.19,,0.08,0
6661.3,119.402,1.995,58.65,61.68,29.993,0,25.22,,0.08,0
6671.47,119.404,1.298,58.64,61.67,29.984,0,25.25,,0.08,0
6681.6,119.429,-1.154,58.61,61.63,30.014,0,25.18,,0.08,0
6691.62,119.403,-1.178,58.65,61.68,29.939,0,25.2,,0.08,0
6701.68,119.394,0.252,58.66,61.69,30.041,0,25.19,,0.08,0
6711.78,119.45,0.036,58.57,61.6,29.967,0,25.19,,0.08,0
6721.95,119.439,-0.385,58.59,61.62,30.086,0,25.2,,0.08,0
6732.08,119.357,1.466,58.71,61.75,30.057,0,25.14,,0.08,0
6742.26,119.362,0.144,58.71,61.74,30.013,0,25.11,,0.08,0
6752.41,119.361,-1.995,58.71,61.74,29.993,0,25.07,,0.08,0
6762.53,119.409,0.024,58.64,61.67,30.047,0,25.05,,0.08,0
6772.53,119.4,1.647,58.65,61.68,30.042,0,25.06,,0.08,0
6782.71,119.417,1.995,58.62,61.65,29.994,0,25.03,,0.08,0
6792.77,119.411,0,58.63,61.66,29.96,0,25.03,,0.08,0
6802.94,119.402,-0.661,58.65,61.68,29.939,0,25.1,,0.08,0
6812.99,119.435,-1.995,58.6,61.62,29.969,0,25.12,,0.08,0
6823.04,119.359,-0.313,58.71,61.74,30.012,0,25.15,,0.08,0
6833.16,119.312,0.072,58.78,61.82,29.996,0,25.14,,0.08,0
6843.3,119.418,0.024,58.62,61.65,29.978,0,25.09,,0.08,0
6853.31,119.414,-0.409,58.63,61.66,29.931,0,25.09,,0.08,0
6863.47,119.422,-0.625,58.62,61.65,30.056,0,25.14,,0.08,0
6873.58,119.345,-1.995,58.73,61.77,30.081,0,25.13,,0.08,0
6883.69,119.305,1.466,58.79,61.83,29.959,0,25.09,,0.08,0
6893.73,119.298,0.433,58.8,61.84,30.012,0,25.15,,0.08,0
6903.93,119.332,0.925,58.75,61.79,29.995,0,25.14,,0.08,0
6914.11,119.293,0.24,58.81,61.85,29.972,0,25.16,,0.08,0
6924.26,119.195,-1.382,58.96,62,29.934,0,25.11,,0.08,0
6934.26,119.382,1.887,58.68,61.71,30.051,0,25.08,,0.08,0
6944.36,119.393,-1.995,58.66,61.69,29.98,0,25.04,,0.08,0
6954.42,119.388,0.048,58.67,61.7,29.959,0,25,,0.08,0
6964.54,119.443,-1.923,58.59,61.61,30.057,0,24.98,,0.08,0
6974.73,119.436,-0.06,58.6,61.62,29.978,0,24.96,,0.08,0
6984.83,119.42,0.517,58.62,61.65,30.032,0,24.96,,0.08,0
6994.89,119.408,-1.43,58.64,61.67,30.031,0,24.99,,0.08,0
7005.02,119.399,-1.55,58.65,61.68,29.925,0,25.03,,0.08,0
7015.11,119.42,-1.995,58.62,61.65,30.019,0,25.02,,0.08,0
7025.28,119.361,-0.421,58.71,61.74,30.114,0,25,,0.08,0
7035.43,119.179,-0.3,58.98,62.03,29.936,0,24.98,,0.08,0
7045.48,119.389,0.433,58.67,61.7,29.955,0,24.98,,0.08,0
7055.48,119.402,-0.252,58.65,61.68,29.951,0,24.98,,0.08,0
7065.62,119.425,-0.577,58.61,61.64,29.963,0,24.96,,0.08,0
7075.81,119.382,0.745,58.68,61.71,30.038,0,24.93,,0.08,0
7085.88,119.359,0.445,58.71,61.74,29.938,0,24.95,,0.08,0
7095.89,119.416,1.995,58.63,61.66,30.043,0,24.92,,0.08,0
7106.05,119.386,-1.647,58.67,61.7,29.921,0,24.94,,0.08,0
7116.18,119.398,0.264,58.65,61.68,30.001,0,24.94,,0.08,0
7126.32,119.395,1.671,58.66,61.69,30.008,0,24.97,,0.08,0
7136.47,119.395,-0.998,58.66,61.69,30.068,0,24.99,,0.08,0
7146.67,119.453,-0.012,58.57,61.6,29.95,0,25.04,,0.08,0
7156.8,119.395,-0.433,58.66,61.69,30.013,0,25.05,,0.08,0
7166.83,119.416,1.094,58.63,61.66,30.05,0,25.06,,0.08,0
7176.92,119.435,-0.841,58.6,61.62,30.05,0,25.07,,0.08,0
7187.07,119.397,-0.505,58.66,61.69,29.993,0,25.07,,0.08,0
7197.11,119.385,0.144,58.67,61.7,30.006,0,25.01,,0.08,0
7207.12,119.384,0.3,58.67,61.71,29.971,0,24.98,,0.08,0
7217.24,119.321,1.058,58.77,61.8,29.923,0,25,,0.08,0
7227.27,119.398,1.911,58.65,61.68,29.964,0,24.96,,0.08,0
7237.36,119.367,-0.625,58.7,61.73,30.071,0,24.98,,0.08,0
7247.46,119.363,0.565,58.71,61.74,30.061,0,24.96,,0.08,0
7257.66,119.338,1.214,58.74,61.78,30.048,0,24.97,,0.08,0
7267.67,119.384,-0.349,58.67,61.71,30.027,0,24.98,,0.08,0
7277.78,119.426,-0.216,58.61,61.64,29.969,0,24.96,,0.08,0
7287.89,119.4,1.286,58.65,61.68,29.973,0,24.99,,0.08,0
7298.03,119.352,1.466,58.72,61.76,29.935,0,24.97,,0.08,0
7308.17,119.339,1.947,58.74,61.78,30.045,0,24.98,,0.08,0
7318.19,119.358,-1.995,58.71,61.75,29.961,0,24.97,,0.08,0
7328.35,119.33,-0.445,58.76,61.79,29.988,0,24.95,,0.08,0
7338.51,119.304,1.502,58.79,61.83,29.987,0,25,,0.08,0
7348.71,119.398,0.036,58.65,61.68,29.943,0,25.03,,0.08,0
7358.85,119.403,-1.695,58.65,61.68,29.944,0,25.04,,0.08,0
7368.87,119.411,-0.529,58.63,61.66,30.083,0,25.08,,0.08,0
7378.99,119.381,1.31,58.68,61.71,29.928,0,25.05,,0.08,0
7389.17,119.423,0.493,58.61,61.64,30.069,0,25.09,,0.08,0
7399.19,119.436,-1.214,58.6,61.62,30.069,0,25.13,,0.08,0
7409.36,119.384,1.082,58.67,61.71,29.969,0,25.19,,0.08,0
7419.47,119.381,-1.118,58.68,61.71,29.966,0,25.14,,0.08,0
7429.63,119.422,0.313,58.62,61.65,29.969,0,25.08,,0.08,0
7439.83,119.407,-0.421,58.64,61.67,30.1,0,25.12,,0.08,0
7450.02,119.402,1.803,58.65,61.68,30.035,0,25.13,,0.08,0
7460.03,119.426,1.827,58.61,61.64,30.028,0,25.2,,0.08,0
7470.06,119.395,1.767,58.66,61.69,30.056,0,25.26,,0.08,0
7480.23,119.425,0.889,58.61,61.64,30.01,0,25.24,,0.08,0
7490.41,119.412,-0.601,58.63,61.66,29.957,0,25.17,,0.08,0
7500.58,119.403,1.262,58.65,61.68,29.88,0,25.09,,0.08,0
7510.67,119.391,1.995,58.66,61.69,29.981,0,25.05,,0.08,0
7520.8,119.405,-1.995,58.64,61.67,29.976,0,25.11,,0.08,0
7530.94,119.393,0.517,58.66,61.69,29.966,0,25.1,,0.08,0
7541.14,119.425,0.156,58.61,61.64,29.952,0,25.09,,0.08,0
7551.3,119.427,-0.745,58.61,61.64,30.04,0,25.13,,0.08,0
7561.43,119.397,-0.95,58.66,61.69,29.964,0,25.16,,0.08,0
7571.57,119.436,-1.31,58.6,61.62,29.976,0,25.17,,0.08,0
7581.74,119.4,1.995,58.65,61.68,30.008,0,25.13,,0.08,0
7591.87,119.413,-1.995,58.63,61.66,29.962,0,25.15,,0.08,0
7601.98,119.42,1.851,58.62,61.65,30.024,0,25.19,,0.08,0
7612.11,119.408,-1.995,58.64,61.67,29.946,0,25.19,,0.08,0
7622.28,119.412,-1.37,58.63,61.66,29.954,0,25.13,,0.08,0
7632.3,119.408,-1.995,58.64,61.67,29.963,0,25.18,,0.08,0
7642.31,119.422,0.769,58.62,61.65,30.06,0,25.18,,0.08,0
7652.47,119.414,-0.649,58.63,61.66,30.08,0,25.16,,0.08,0
7662.6,119.408,-1.803,58.64,61.67,29.978,0,25.17,,0.08,0
7672.75,119.412,0.925,58.63,61.66,29.955,0,25.16,,0.08,0
7682.86,119.399,-0.072,58.65,61.68,29.923,0,25.14,,0.08,0
7692.88,119.425,1.995,58.61,61.64,30.056,0,25.09,,0.08,0
7703.08,119.429,-0.962,58.61,61.63,29.967,0,25.12,,0.08,0
7713.24,119.441,-0.252,58.59,61.61,30.029,0,25.15,,0.08,0
7723.38,119.45,-1.611,58.57,61.6,29.968,0,25.11,,0.08,0
7733.42,119.454,-1.466,58.57,61.59,29.948,0,25.11,,0.08,0
7743.54,119.479,-1.262,58.53,61.56,30.12,0,25.18,,0.08,0
7753.54,119.412,0.036,58.63,61.66,29.933,0,25.22,,0.08,0
7763.69,119.367,-1.995,58.7,61.73,29.929,0,25.18,,0.08,0
7773.72,119.338,-0.733,58.74,61.78,30.054,0,25.15,,0.08,0
7783.91,119.284,0.012,58.82,61.86,29.957,0,25.13,,0.08,0
7794.07,119.326,-1.106,58.76,61.8,30.009,0,25.13,,0.08,0
7804.26,119.394,0.577,58.66,61.69,29.904,0,25.08,,0.08,0
7814.44,119.438,-1.995,58.59,61.62,29.969,0,25.09,,0.08,0
7824.62,119.421,-1.707,58.62,61.65,29.959,0,25.08,,0.08,0
7834.78,119.357,-1.082,58.71,61.75,29.946,0,25.07,,0.08,0
7844.98,119.329,-1.611,58.76,61.79,29.96,0,25.08,,0.08,0
7854.99,119.295,0.409,58.81,61.85,29.977,0,25.1,,0.08,0
7865.19,119.3,-0.986,58.8,61.84,29.944,0,25.12,,0.09,0
7875.2,119.394,-1.695,58.66,61.69,29.985,0,25.11,,0.09,0
7885.4,119.39,1.995,58.66,61.7,30.012,0,25.11,,0.09,0
7895.58,119.395,1.719,58.66,61.69,29.976,0,25.1,,0.09,0
7905.73,119.421,-0.709,58.62,61.65,29.932,0,25.21,,0.09,0
7915.92,119.457,0.853,58.56,61.59,30.049,0,25.27,,0.09,0
7925.95,119.454,0.048,58.57,61.59,30.053,0,25.2,,0.09,0
7935.97,119.418,-0.084,58.62,61.65,29.944,0,25.24,,0.09,0
7946.07,119.426,-0.853,58.61,61.64,29.954,0,25.25,,0.09,0
7956.27,119.481,-1.995,58.53,61.55,29.979,0,25.22,,0.09,0
7966.32,119.477,-1.995,58.53,61.56,29.956,0,25.18,,0.09,0
7976.33,119.458,1.659,58.56,61.59,30.044,0,25.19,,0.09,0
7986.53,119.438,0.204,58.59,61.62,30.011,0,25.24,,0.09,0
7996.54,119.417,-1.995,58.62,61.65,29.986,0,25.3,,0.09,0
8006.71,119.43,-1.995,58.61,61.63,30.088,0,25.26,,0.09,0
8016.88,119.416,1.995,58.63,61.66,30.021,0,25.25,,0.09,0
8027.06,119.362,-0.529,58.71,61.74,29.936,0,25.27,,0.09,0
8037.16,119.354,1.995,58.72,61.75,30.082,0,25.29,,0.09,0
8047.3,119.377,1.635,58.68,61.72,30.061,0,25.21,,0.09,0
8057.43,119.448,1.695,58.58,61.6,30.005,0,25.17,,0.09,0
8067.63,119.444,0.649,58.58,61.61,29.988,0,25.16,,0.09,0
8077.78,119.463,-0.168,58.56,61.58,30.069,0,25.21,,0.09,0
8087.94,119.45,-0.264,58.57,61.6,29.932,0,25.25,,0.09,0
8097.96,119.425,1.214,58.61,61.64,30.041,0,25.29,,0.09,0
8108.06,119.459,1.406,58.56,61.59,30.07,0,25.31,,0.09,0
8118.25,119.44,0.733,58.59,61.62,29.998,0,25.3,,0.09,0
8128.36,119.45,-0.541,58.57,61.6,29.979,0,25.29,,0.09,0
8138.55,119.435,-0.998,58.6,61.62,29.97,0,25.23,,0.09,0
8148.7,119.42,1.995,58.62,61.65,29.964,0,25.21,,0.09,0
8158.87,119.425,0.168,58.61,61.64,29.904,0,25.24,,0.09,0
8169.07,119.434,1.322,58.6,61.63,30.072,0,25.23,,0.09,0
8179.23,119.411,-1.995,58.63,61.66,29.927,0,25.25,,0.09,0
8189.39,119.417,-1.995,58.62,61.65,29.976,0,25.27,,0.09,0
8199.49,119.441,1.55,58.59,61.61,29.916,0,25.24,,0.09,0
8209.66,119.402,-0.853,58.65,61.68,29.92,0,25.2,,0.09,0
8219.86,119.421,1.118,58.62,61.65,29.998,0,25.17,,0.09,0
8230,119.404,-0.649,58.64,61.67,30.086,0,25.14,,0.09,0
8240.01,119.407,-1.995,58.64,61.67,29.919,0,25.16,,0.09,0
8250.14,119.349,1.466,58.73,61.76,29.946,0,25.08,,0.09,0
8260.34,119.357,0.192,58.71,61.75,30.027,0,25.06,,0.09,0
8270.53,119.408,1.995,58.64,61.67,29.988,0,25.05,,0.09,0
8280.68,119.421,1.178,58.62,61.65,29.983,0,25.08,,0.09,0
8290.84,119.408,0.06,58.64,61.67,29.897,0,25.07,,0.09,0
8301.04,119.402,1.995,58.65,61.68,29.926,0,25.09,,0.09,0
8311.16,119.438,-0.505,58.59,61.62,29.934,0,25.1,,0.09,0
8321.28,119.461,1.995,58.56,61.58,29.962,0,25.07,,0.09,0
8331.48,119.445,1.995,58.58,61.61,29.919,0,25.09,,0.09,0
8341.65,119.507,0.589,58.49,61.51,30.053,0,25.12,,0.09,0
8351.66,119.425,-0.998,58.61,61.64,29.945,0,25.19,,0.09,0
8361.86,119.43,-1.995,58.61,61.63,29.945,0,25.23,,0.09,0
8372.04,119.454,-1.839,58.57,61.59,30.035,0,25.2,,0.09,0
8382.04,119.423,-1.094,58.61,61.64,29.903,0,25.17,,0.09,0
8392.13,119.468,0.793,58.55,61.57,30.027,0,25.21,,0.09,0
8402.34,119.4,1.995,58.65,61.68,29.989,0,25.19,,0.09,0
8412.37,119.404,1.599,58.64,61.67,29.955,0,25.2,,0.09,0
8422.49,119.435,-1.142,58.6,61.62,30.094,0,25.14,,0.09,0
8432.65,119.321,0.132,58.77,61.8,29.98,0,25.14,,0.09,0
8442.78,119.259,-0.409,58.86,61.9,29.958,0,25.13,,0.09,0
8452.99,119.202,1.454,58.95,61.99,29.914,0,25.07,,0.09,0
8463.01,119.509,-0.048,58.49,61.51,29.985,0,25.09,,0.09,0
8473.13,119.538,-1.094,58.44,61.46,29.951,0,25.09,,0.09,0
8483.24,119.568,1.995,58.4,61.41,29.981,0,25.08,,0.09,0
8493.25,119.555,-0.577,58.42,61.43,29.928,0,25.13,,0.09,0
8503.41,119.548,0.793,58.43,61.45,30.044,0,25.12,,0.09,0
8513.59,119.531,-1.863,58.45,61.47,30.067,0,25.14,,0.09,0
8523.72,119.562,-0.036,58.41,61.42,29.912,0,25.17,,0.09,0
8533.84,119.548,1.995,58.43,61.45,29.987,0,25.14,,0.09,0
8544.03,119.516,1.995,58.48,61.5,30.018,0,25.11,,0.09,0
8554.05,119.535,0.024,58.45,61.47,29.994,0,25.08,,0.09,0
8564.26,119.527,-1.286,58.46,61.48,29.95,0,25.09,,0.09,0
8574.39,119.585,-1.995,58.37,61.39,30.054,0,25.07,,0.09,0
8584.5,119.545,-1.995,58.43,61.45,30.028,0,25.09,,0.09,0
8594.7,119.573,1.01,58.39,61.41,30.09,0,25.09,,0.09,0
8604.71,119.546,1.106,58.43,61.45,29.979,0,25.08,,0.09,0
8614.74,119.58,-0.24,58.38,61.4,30.013,0,25.09,,0.09,0
8624.93,119.55,-1.587,58.42,61.44,30.039,0,25.1,,0.09,0
8635.12,119.543,0.853,58.44,61.46,29.91,0,25.09,,0.09,0
8645.3,119.591,1.659,58.36,61.38,29.894,0,25.14,,0.09,0
8655.36,119.598,1.587,58.35,61.37,29.873,0,25.16,,0.09,0
8665.37,119.69,0.95,58.21,61.22,29.994,0,25.15,,0.09,0
8675.4,119.699,1.334,58.2,61.21,29.871,0,25.17,,0.09,0
8685.48,119.727,1.671,58.16,61.16,29.926,0,25.23,,0.09,0
8695.64,119.757,-1.406,58.11,61.12,29.965,0,25.28,,0.09,0
8705.83,119.755,1.274,58.12,61.12,29.952,0,25.36,,0.09,0
8716.01,119.804,-0.541,58.04,61.04,29.953,0,25.35,,0.09,0
8726.17,119.834,0.757,58,61,29.953,0,25.28,,0.09,0
8736.18,119.846,-1.995,57.98,60.98,30.052,0,25.35,,0.09,0
8746.31,119.868,-1.995,57.95,60.94,29.988,0,25.32,,0.09,0
8756.46,119.931,-0.084,57.85,60.84,30.106,0,25.23,,0.09,0
8766.46,119.795,0.288,58.06,61.06,29.952,0,25.16,,0.09,0
8776.62,119.849,-0.397,57.98,60.97,29.966,0,25.12,,0.09,0
8786.78,119.88,-1.214,57.93,60.92,29.973,0,25.11,,0.09,0
8796.98,119.871,-1.863,57.94,60.94,29.92,0,25.08,,0.09,0
8807.17,119.911,-1.995,57.88,60.87,29.978,0,25.07,,0.09,0
